price,bedrooms,bathrooms,addr,lat,lng
"3,495",1,1,2 Gold St #3005,40.7073585,-74.006962
"2,970",1,5,2 Gold St #1202,40.7073585,-74.006962
"3,400",1,1,2 Gold St #405,40.7073585,-74.006962
"3,570",1,1,2 Gold St #17C,40.7073585,-74.006962
"3,350",1,1,2 Gold St #23D,40.7073585,-74.006962
"6,895",3,2,225 Front St #3S,40.7073602,-74.002061
"6,495",2,2,225 Front St #4N,40.7073602,-74.002061
"4,195",1,1,10 Liberty St #15A,40.707391,-74.0081376
"4,495",1,1,10 Liberty St #38A,40.707391,-74.0081376
"5,800",2,2,229 Front St #4W,40.7074499,-74.0018889
"2,525",1,2,116 John St #509,40.7074594,-74.0058924
"3,525",1,1,116 John St #1505,40.7074594,-74.0058924
"3,225",1,1,116 John St #3305,40.7074594,-74.0058924
"3,495",1,1,116 John St #2406,40.7074594,-74.0058924
"3,095",1,1,116 John St #508,40.7074594,-74.0058924
"3,250",1,1,116 John St #1507,40.7074594,-74.0058924
"2,595",1,2,116 John St #2114,40.7074594,-74.0058924
"4,650",1,2,116 John St #1903,40.7074594,-74.0058924
"3,695",1,1,116 John St #2012,40.7074594,-74.0058924
"3,295",1,1,116 John St #1907,40.7074594,-74.0058924
"3,250",1,1,116 John St #2201,40.7074594,-74.0058924
"3,195",1,6,116 John St #1501,40.7074594,-74.0058924
"4,165",1,1,Financial District,40.7074909,-74.0112764
"3,595",1,1,220 Front St #5B,40.707572,-74.0024278
"3,915",2,3,71 Broadway,40.7075758,-74.0127751
"5,700",2,2,99 Battery Pl #9C,40.7076577,-74.0166363
"3,675",1,1,99 Battery Pl #26K,40.7076577,-74.0166363
"4,500",1,1,99 Battery Pl #26E,40.7076577,-74.0166363
"5,695",2,1,99 Battery Pl #16H,40.7076577,-74.0166363
"5,600",2,2,99 Battery Pl #7C,40.7076577,-74.0166363
"3,195",1,3,88 Greenwich St #301,40.7077056,-74.0138816
"3,000",1,7,88 Greenwich St #314,40.7077056,-74.0138816
"3,200",1,5,88 Greenwich St #911,40.7077056,-74.0138816
"2,995",1,1,88 Greenwich St #3003,40.7077056,-74.0138816
"2,750",1,1,88 Greenwich St #529,40.7077056,-74.0138816
"2,850",1,1,88 Greenwich St #1317,40.7077056,-74.0138816
"3,495",1,1,88 Greenwich St #518,40.7077056,-74.0138816
"2,950",1,4,88 Greenwich St #2603,40.7077056,-74.0138816
"5,500",2,2,88 Greenwich St #1004,40.7077056,-74.0138816
"3,975",1,2,100 John St #1704,40.7079305,-74.0064634
"3,375",1,2,100 John St #2009,40.7079305,-74.0064634
"3,125",1,1,100 John St #3006,40.7079305,-74.0064634
"4,025",1,1,100 John St #1702,40.7079305,-74.0064634
"3,525",1,1,100 John St #2703,40.7079305,-74.0064634
"3,295",1,6,100 John St #2906,40.7079305,-74.0064634
"3,975",3,1,100 John St #1705,40.7079305,-74.0064634
"15,750",5,6,100 John St #2,40.7079305,-74.0064634
"3,595",1,4,100 John St #1717,40.7079305,-74.0064634
"6,000",1,1,50 West St #29C,40.7080103,-74.0149843
"15,250",3,3,50 West St #11C,40.7080103,-74.0149843
"19,500",4,4,50 West St #40C,40.7080103,-74.0149843
"5,800",1,1,50 West St #27C,40.7080103,-74.0149843
"8,200",2,2,50 West St #27A,40.7080103,-74.0149843
"15,000",3,3,50 West St #22B,40.7080103,-74.0149843
"20,000",4,4,50 West St #45C,40.7080103,-74.0149843
"16,000",3,3,50 West St #34D,40.7080103,-74.0149843
"14,995",3,3,50 West St #22C,40.7080103,-74.0149843
"8,500",2,2,50 West St #37D,40.7080103,-74.0149843
"10,500",3,3,50 West St #39A,40.7080103,-74.0149843
"36,000",4,4,50 West St #58-B,40.7080103,-74.0149843
"5,700",1,1,50 West St #21C,40.7080103,-74.0149843
"6,100",1,1,50 West St #23C,40.7080103,-74.0149843
"9,500",2,2,50 West St #35A,40.7080103,-74.0149843
"18,500",3,3,50 West St #28C,40.7080103,-74.0149843
"5,900",1,1,50 West St #18A,40.7080103,-74.0149843
"12,495",3,3,50 West St #47A,40.7080103,-74.0149843
"8,900",2,2,50 West St #45D,40.7080103,-74.0149843
"10,000",1,2,50 West St #53-D,40.7080103,-74.0149843
"23,600",4,4,50 West St #52-C,40.7080103,-74.0149843
"2,850",1,5,99 John St #1103,40.7083083,-74.0060006
"3,100",1,1,254 Front St #2E,40.7083653,-74.0007369
"4,125",2,1,254 Front St #5D,40.7083653,-74.0007369
"9,480",3,2,15 Cliff St,40.7084448,-74.0056664
"3,150",1,4,85 John St #7H,40.7085072,-74.006442
"2,995",1,3,85 John St #5A,40.7085072,-74.006442
